Has a citizen made a request for compliance?,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),Is there a built up Curb Ramp?,"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp? (inches),Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Minimum width of marked Cross Walk? (99 if no Cross Walk),Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Are there Traffic Signals?,Are there Pedestrian Signals?,Is there a push button within reach of sidewalk?,Latitude,Longitude,Street,Crossing Street (or Facility),Ramp Direction,Is this the location of a missing ramp where one is warranted?,Are there Detectable Warnings?,Are the Detectable Warnings properly placed?,Are the Detectable Warnings in good condition and show color contrast?,Maximum slope of side flares? (answer 99 if no side flares),"Are all slope transitions less then 1/4""?",Is there a 4'x4' landing at bottom of Curb Ramp outside vehicle lane?,Is there a 4'x4' landing at top of Curb Ramp?,What is the maximum cross slope of the top landing?,What is the minimum width of the Curb Ramp?,Maximum cross slope of Curb Ramp?,Maximum running slope of Curb Ramp?,Maximum Curb Ramp Gutter Slope?,Minimum width of adjacent walk?,Maximum cross slope of adjacent walk?,Maximum running slope of adjacent walk?,"Are all horizontal openings of the Curb Ramp less then 1/2""?",Maximum cross slope of existing/proposed Cross Walk?,Maximum running slope of existing/proposed Cross Walk?,Is there a push button within reach of sidewalk?,Total Curb Ramp Condition Score,Total Gutter Slope Condition Score,Total Adjacent Walk Condition Score,Total Crosswalk Condition Score,Total Ped Signal Condition Score,Total Condition  Score,Has a citizen made a request for compliance?,Population Density,Senior Population Density,Disabled Population Density,Distance from Public Places,Distance form Transit Route,Total Location Rating,TOTAL RATING
No,No,No,No,No,99,No,No,No,No,99,58,3.9,4.9,99,60,6.7,0.6,Yes,99,2.7,0.1,No,No,No,42.014926,-87.97808,Landmeier Road,Commercial Entrance,SW-W,0,20,10,10,,10,10,10,,0,10,0,,0,7,0,0,0,0,,80,,7,0,,87,0,0,0,0,5,0,5,92
No,No,No,No,No,15.5,No,No,No,Yes,0.4,46,0.9,4.5,99,60,4.3,2.3,Yes,99,1.3,0.4,No,No,No,42.014818,-87.977552,Landmeier Road,Commercial Entrance,SW-W,0,20,10,10,5,10,10,0,0,10,0,0,,0,7,0,0,0,0,,75,,7,0,,82,0,0,0,0,5,0,5,87
No,No,No,No,No,99,No,No,No,No,99,48,5.5,5.9,99,57,2.8,2.3,No,99,4.8,1.4,No,No,No,42.01461,-87.976613,Landmeier Road,Commercial Entrance,SW-W,0,20,10,10,,10,10,10,,0,10,0,,0,7,0,5,0,0,,85,,7,0,,92,0,0,0,0,5,0,5,97
No,No,No,No,No,13.9,No,No,No,Yes,0.2,44,2.9,8.9,99,72,1,0.2,Yes,99,0.2,0.2,No,No,No,42.011302,-87.960706,Landmeier Road,Commercial Entrance,SW-W,0,20,10,10,5,10,10,0,0,10,10,10,,0,0,0,0,0,0,,95,,0,0,,95,0,0,0,0,0,0,0,95
No,No,No,No,No,16.8,No,Yes,No,No,99,48,3.4,0.6,0.7,60,3.7,1.5,Yes,99,2.3,0.4,No,No,No,42.011303,-87.958353,Landmeier Road,Commercial Entrance,SW-W,0,20,10,10,5,0,10,10,,0,10,0,0,0,7,0,0,0,0,,75,0,7,0,,82,0,0,0,0,0,0,0,82
No,No,No,No,No,21.9,No,Yes,No,Yes,1,60,3.5,5.5,1.2,60,1.3,0.7,Yes,99,2.6,0.5,No,No,No,42.011259,-87.956997,Landmeier Road,Commercial Entrance,SW-W,0,20,10,10,5,0,10,0,0,0,10,0,0,0,0,0,0,0,0,,65,0,0,0,,65,0,0,0,0,0,0,0,65
No,No,No,No,No,99,No,No,Yes,Yes,2.6,60,3.7,5.7,3.3,61,2.8,0.1,No,99,0.7,1,No,No,No,42.016696,-87.985755,Landmeier Road,Crest Avenue,NE,0,20,10,10,,10,0,0,10,0,10,0,0,0,7,0,5,0,0,,75,0,7,0,,82,0,3,0,3,7,0,13,95
No,No,No,No,No,99,No,No,Yes,Yes,2.7,80,6.6,5.7,2,60,4.5,0.1,Yes,99,1.5,0.6,No,No,No,42.016729,-87.985916,Landmeier Road,Crest Avenue,NW,0,20,10,10,,10,0,0,10,0,10,0,0,0,7,0,0,0,0,,70,0,7,0,,77,0,3,0,3,7,0,13,90
No,No,No,No,No,99,No,No,No,Yes,0.2,48,6,7.2,1,60,0.7,0.1,Yes,99,1.1,0.1,No,No,No,42.01647,-87.985665,Landmeier Road,Crest Avenue,SE,0,20,10,10,,10,10,0,0,0,10,0,0,0,0,0,0,0,0,,70,0,0,0,,70,0,0,0,0,7,0,7,77
No,No,No,No,No,27.8,No,No,No,Yes,0.6,48,0.9,3.8,0.7,60,0.2,0.7,Yes,99,1.8,1.1,No,No,No,42.016519,-87.985905,Landmeier Road,Crest Avenue,SW,0,20,10,10,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,65,0,0,0,,65,0,0,0,0,7,0,7,72
No,No,No,No,No,99,No,No,No,No,99,99,99,99,99,99,99,99,Yes,99,1.2,1.7,No,No,No,42.011035,-87.954941,Landmeier Road,Dierking Terrace/Mc Cabe Avenue,NE,0,20,10,10,,10,10,10,,,,,,,,,0,0,0,,70,,0,0,,70,0,0,0,0,0,0,0,70
No,No,No,No,No,99,No,Yes,No,No,99,46,4.1,8.5,3.5,60,1.5,0.9,Yes,99,0.7,2.2,No,No,No,42.011049,-87.955178,Landmeier Road,Dierking Terrace/Mc Cabe Avenue,NW-N,0,20,10,10,,0,10,10,,10,10,10,0,0,0,0,0,0,0,,90,0,0,0,,90,0,0,0,0,0,0,0,90
No,No,No,No,No,99,No,No,No,No,99,40,1.2,13.2,5.5,60,1.7,5,Yes,99,3.5,0.5,No,No,No,42.011075,-87.955097,Landmeier Road,Dierking Terrace/Mc Cabe Avenue,NW-W,0,20,10,10,,10,10,10,,10,0,10,3,0,0,0,0,0,0,,90,3,0,0,,93,0,0,0,0,0,0,0,93
No,No,No,No,No,15.1,No,No,No,Yes,1.6,54,2.3,9,4.4,60,2.4,2.2,Yes,99,0.1,1.6,No,No,No,42.010767,-87.954887,Landmeier Road,Dierking Terrace/Mc Cabe Avenue,SE,0,20,10,10,5,10,10,0,0,0,10,10,0,0,7,0,0,0,0,,85,0,7,0,,92,0,0,0,0,0,0,0,92
No,No,No,No,No,99,No,Yes,No,No,99,52,0.3,11.3,7,60,2.8,1.7,Yes,99,0.2,1.1,No,No,No,42.010869,-87.955248,Landmeier Road,Dierking Terrace/Mc Cabe Avenue,SW-S,0,20,10,10,,0,10,10,,0,0,10,3,0,7,0,0,0,0,,70,3,7,0,,80,0,0,0,0,0,0,0,80
No,No,No,No,No,15.4,No,No,No,No,99,53,1,5.1,4.1,60,2.9,0.8,Yes,99,0.7,0.1,No,No,No,42.010833,-87.955174,Landmeier Road,Dierking Terrace/Mc Cabe Avenue,SW-W,0,20,10,10,5,10,10,10,,0,0,0,0,0,7,0,0,0,0,,75,0,7,0,,82,0,0,0,0,0,0,0,82
No,No,No,No,No,99,No,No,Yes,Yes,3,48,4.3,6.6,1.6,61,2.3,0.7,Yes,99,0.6,0.7,No,No,No,42.014526,-87.975366,Landmeier Road,Fleetwood Lane,NE,0,20,10,10,,10,0,0,10,0,10,0,0,0,7,0,0,0,0,,70,0,7,0,,77,0,3,0,3,5,0,11,88
No,No,No,No,No,99,No,No,Yes,Yes,0.8,54,3.8,4,1.5,60,1.3,1.4,Yes,99,0.8,0.4,No,No,No,42.014597,-87.975672,Landmeier Road,Fleetwood Lane,NW,0,20,10,10,,10,0,0,0,0,10,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,3,0,3,5,0,11,71
No,No,No,No,No,21.6,No,No,No,No,99,46,8.1,2.1,99,51,6.4,1.1,Yes,99,10.5,1.3,No,No,No,42.014339,-87.975557,Landmeier Road,Fleetwood Lane,SE-E,0,20,10,10,5,10,10,10,,10,10,0,,0,7,0,0,4,0,,95,,7,4,,106,0,0,0,0,5,0,5,111
No,No,No,No,No,12.3,No,Yes,No,Yes,1.6,44,3.1,2.5,99,60,3.6,0.4,Yes,99,6.4,2,No,No,No,42.014376,-87.9757,Landmeier Road,Fleetwood Lane,SW-W,0,20,10,10,5,0,10,0,0,10,10,0,,0,7,0,0,4,0,,75,,7,4,,86,0,0,0,0,5,0,5,91
No,No,No,No,No,99,No,No,No,Yes,1.3,48,6.8,3,0.1,60,0.7,0.7,Yes,99,3.6,0.4,No,No,No,42.01679,-87.987276,Landmeier Road,Forest View Avenue,SE,0,20,10,10,,10,10,0,0,0,10,0,0,0,0,0,0,0,0,,70,0,0,0,,70,0,0,0,0,7,0,7,77
No,No,No,No,No,18.7,No,No,No,No,99,48,11.1,7.4,2.2,60,6.8,0.4,Yes,99,3.6,1.9,No,No,No,42.016834,-87.987501,Landmeier Road,Forest View Avenue,SW,0,20,10,10,5,10,10,10,,0,10,0,0,0,7,0,0,0,0,,85,0,7,0,,92,0,0,0,0,7,0,7,99
No,No,No,No,No,7.9,No,No,No,No,99,48,10.4,5.2,99,60,4.2,0.5,Yes,99,7.9,1.8,No,No,No,42.011306,-87.960301,Landmeier Road,Gas Station Driveway,SE-E,0,20,10,10,0,10,10,10,,0,10,0,,0,7,0,0,4,0,,80,,7,4,,91,0,0,0,0,0,0,0,91
No,No,No,No,No,18.7,No,No,No,No,99,48,8.9,2.6,99,89,4.5,0.5,Yes,99,2.4,1.9,No,No,No,42.011304,-87.960488,Landmeier Road,Gas Station Driveway,SW-W,0,20,10,10,5,10,10,10,,0,10,0,,0,7,0,0,0,0,,85,,7,0,,92,0,0,0,0,0,0,0,92
No,No,No,No,No,28.5,No,No,No,Yes,0.4,40,4.4,8.7,1,60,2.3,0.6,Yes,99,3.1,1.7,No,No,No,42.009876,-87.945588,Landmeier Road,GP Logistics Driveway,SE,0,20,10,10,5,10,10,0,0,10,10,10,0,0,7,0,0,0,0,,95,0,7,0,,102,0,0,0,0,0,0,0,102
No,No,No,No,No,37.1,No,No,No,No,99,41,7.7,8.7,2.2,60,5.3,1.1,Yes,99,3.2,2.6,No,No,No,42.009794,-87.945858,Landmeier Road,GP Logistics Driveway,SW,0,20,10,10,5,10,10,10,,10,10,10,0,0,7,0,0,0,0,,105,0,7,0,,112,0,0,0,0,0,0,0,112
No,No,Yes,No,Yes,99,No,No,Yes,Yes,2.7,66,1.6,1.2,1.3,60,7.1,2.4,No,99,4.2,0.9,No,No,No,42.017303,-87.988881,Landmeier Road,Greenbriar Street,NE,0,0,10,0,,10,0,0,10,0,0,0,0,0,7,0,5,0,0,,35,0,7,0,,42,0,3,0,3,7,0,13,55
No,No,Yes,No,Yes,99,No,No,Yes,Yes,2,72,3.1,5.5,1.3,62,1.1,1.9,No,99,1.7,0.3,No,No,No,42.017336,-87.989036,Landmeier Road,Greenbriar Street,NW,0,0,10,0,,10,0,0,0,0,10,0,0,0,0,0,5,0,0,,35,0,0,0,,35,0,3,0,3,7,0,13,48
No,No,No,No,No,9.2,No,No,No,Yes,1.1,204,0.3,11.3,3,48,4.3,0.5,Yes,99,1.3,0.7,Yes,No,No,42.010659,-87.944228,Landmeier Road,Higgins Road,NE,0,20,10,10,0,10,10,0,0,0,0,10,0,0,7,0,0,0,0,,70,0,7,0,,77,0,0,0,0,0,0,0,77
No,No,No,No,No,99,No,No,No,No,99,99,99,99,99,99,99,99,Yes,99,1.1,0.8,Yes,No,No,42.010426,-87.944005,Landmeier Road,Higgins Road,SE,0,20,10,10,,10,10,10,,,,,,,,,0,0,0,,70,,0,0,,70,0,0,0,0,0,0,0,70
No,No,No,No,No,23.6,No,Yes,No,No,99,54,9.8,1,1.7,72,2.6,2,Yes,99,8.6,0.6,No,No,No,42.011302,-87.961321,Landmeier Road,Holiday Inn Entrance,SE-E,0,20,10,10,5,0,10,10,,0,10,0,0,0,7,0,0,4,0,,75,0,7,4,,86,0,0,0,0,0,0,0,86
No,No,No,No,No,14.2,No,No,No,No,99,40,14.9,5.4,2,60,9.1,1.6,Yes,99,4,1.4,No,No,No,42.011305,-87.961549,Landmeier Road,Holiday Inn Entrance,SW-W,0,20,10,10,5,10,10,10,,10,10,0,0,0,7,0,0,0,0,,95,0,7,0,,102,0,0,0,0,0,0,0,102
No,No,No,No,No,99,No,No,Yes,Yes,2,80,7.1,3.9,3.7,45,1.8,0,No,99,0.9,1.9,No,No,No,42.017494,-87.989881,Landmeier Road,Holly Lane,NE-E,0,20,10,10,,10,0,0,0,0,10,0,0,7,0,0,5,0,0,,65,0,7,0,,72,0,3,0,3,7,0,13,85
No,No,No,No,No,99,No,No,No,Yes,3.3,80,99,99,2.3,60,2.1,0.3,No,72,0.2,9.5,No,No,No,42.017472,-87.989865,Landmeier Road,Holly Lane,NE-N,0,20,10,10,,10,10,0,10,0,,,0,0,7,0,5,0,3,,75,0,7,3,,85,0,3,0,3,7,0,13,98
No,No,No,No,No,99,No,No,Yes,Yes,2.7,48,6.1,6.2,4.3,60,1.9,1.5,No,99,1.7,0,No,No,No,42.017511,-87.990063,Landmeier Road,Holly Lane,NW-N,0,20,10,10,,10,0,0,10,0,10,0,0,0,0,0,5,0,0,,75,0,0,0,,75,0,3,0,3,7,0,13,88
No,No,No,No,No,99,No,No,Yes,Yes,4.6,64,5.5,2.9,2.6,60,1.9,0.8,No,99,1.8,0.8,No,No,No,42.017525,-87.990029,Landmeier Road,Holly Lane,NW-W,0,20,10,10,,10,0,0,10,0,10,0,0,0,0,0,5,0,0,,75,0,0,0,,75,0,3,0,3,7,0,13,88
No,No,No,No,No,399,No,Yes,Yes,Yes,2,41,4.3,10.8,99,60,0.7,0.3,No,99,5.8,1,Yes,No,No,42.015389,-87.979054,Landmeier Road,James P. Petri Public Works Facility,NE,0,20,10,10,5,0,0,0,0,10,10,10,,0,0,0,5,4,0,,80,,0,4,,84,0,3,0,3,5,0,11,95
No,No,No,No,No,99,No,Yes,Yes,Yes,1.9,44,7,10.6,99,60,4.1,0.1,Yes,99,8.1,0.4,Yes,No,No,42.015414,-87.979196,Landmeier Road,James P. Petri Public Works Facility,NW,0,20,10,10,,0,0,0,0,10,10,10,,0,7,0,0,4,0,,70,,7,4,,81,0,3,0,3,7,0,13,94
No,No,No,No,No,99,No,No,Yes,Yes,3.7,54,4.6,1.4,0.3,61,3.1,0.5,Yes,99,1,0.3,No,No,No,42.014069,-87.973778,Landmeier Road,Landmeier Station Apartments,NE,0,20,10,10,,10,0,0,10,0,10,0,0,0,7,0,0,0,0,,70,0,7,0,,77,0,3,0,3,3,0,9,86
No,No,No,No,No,99,No,No,Yes,Yes,4.2,58,3.6,4.2,6.6,61,0.1,0.2,Yes,99,0.1,0.2,No,No,No,42.014107,-87.973892,Landmeier Road,Landmeier Station Apartments,NW,0,20,10,10,,10,0,0,10,0,10,0,3,0,0,0,0,0,0,,70,3,0,0,,73,0,3,0,3,3,0,9,82
No,No,No,No,No,7.4,No,No,Yes,Yes,0,39,3.4,8.8,5.9,72,2.8,0,No,72,0.5,3,Yes,Yes,Yes,42.012461,-87.969172,Landmeier Road,Lively Boulevard,NE-E,0,20,10,10,0,10,0,0,0,10,10,10,3,0,7,0,5,0,0,0,85,3,7,0,0,95,0,3,0,3,0,0,6,101
No,No,No,No,No,7.3,No,No,Yes,Yes,1.7,39,3.1,7.6,3.8,70,2.4,3.7,Yes,72,1.3,2.4,Yes,Yes,Yes,42.012387,-87.969153,Landmeier Road,Lively Boulevard,NE-N,0,20,10,10,0,10,0,0,0,10,10,0,0,0,7,0,0,0,0,0,70,0,7,0,0,77,0,3,0,3,0,0,6,83
No,No,No,No,No,10.1,No,No,Yes,Yes,3,36,5.5,8.3,2,72,5,4.5,Yes,75,0.7,2.7,Yes,Yes,Yes,42.012528,-87.969479,Landmeier Road,Lively Boulevard,NW-N,0,20,10,10,5,10,0,0,10,10,10,0,0,0,7,0,0,0,0,0,85,0,7,0,0,92,0,3,0,3,0,0,6,98
No,No,No,No,No,14.5,No,No,Yes,Yes,1.9,36,1.8,11.8,1.5,72,3.6,2.2,No,72,1,0.1,Yes,Yes,Yes,42.012551,-87.969437,Landmeier Road,Lively Boulevard,NW-W,0,20,10,10,5,10,0,0,0,10,0,10,0,0,7,0,5,0,0,0,80,0,7,0,0,87,0,3,0,3,0,0,6,93
No,No,No,No,No,10.4,No,Yes,No,No,99,34,1.2,8.6,1.3,65,2.6,2.3,Yes,99,0.2,1.2,Yes,Yes,Yes,42.012136,-87.969372,Landmeier Road,Lively Boulevard,SE-E,0,20,10,10,5,0,10,10,,10,0,10,0,0,7,0,0,0,0,0,85,0,7,0,0,92,0,0,0,0,0,0,0,92
No,No,No,No,No,9.6,No,No,No,No,99,34,0.9,11.2,2.6,60,3.8,0.9,Yes,72,0.5,0.2,Yes,Yes,Yes,42.012163,-87.969324,Landmeier Road,Lively Boulevard,SE-S,0,20,10,10,0,10,10,10,,10,0,10,0,0,7,0,0,0,0,0,90,0,7,0,0,97,0,0,0,0,0,0,0,97
No,No,No,No,No,7.2,No,Yes,No,Yes,1.3,36,2.1,10.4,6.1,54,3.4,0.7,Yes,72,0.6,0.7,Yes,Yes,Yes,42.01229,-87.969659,Landmeier Road,Lively Boulevard,SW-S,0,20,10,10,0,0,10,0,0,10,10,10,3,0,7,0,0,0,0,0,80,3,7,0,0,90,0,0,0,0,0,0,0,90
No,No,No,No,No,8.3,No,No,No,No,99,31,2.9,10.3,2.6,52,3.5,1,Yes,72,0.7,1,Yes,Yes,Yes,42.012245,-87.969646,Landmeier Road,Lively Boulevard,SW-W,0,20,10,10,0,10,10,10,,10,10,10,0,0,7,0,0,0,0,0,100,0,7,0,0,107,0,0,0,0,0,0,0,107
No,No,No,No,No,99,No,No,No,No,99,99,99,99,99,48,1.7,5.7,Yes,99,0.1,0.8,No,No,No,42.009899,-87.95043,Landmeier Road,Nicholas Blvd,NE,0,20,10,10,,10,10,10,,,,,,0,0,7,0,0,0,,70,,7,0,,77,0,0,0,0,0,0,0,77
No,No,No,No,No,99,No,No,No,No,99,99,99,99,99,48,1.7,2.8,Yes,99,0.7,0.5,No,No,No,42.009972,-87.950661,Landmeier Road,Nicholas Blvd,NW,0,20,10,10,,10,10,10,,,,,,0,0,0,0,0,0,,70,,0,0,,70,0,0,0,0,0,0,0,70
No,No,No,No,No,11.1,No,No,No,Yes,1.4,54,0.9,14.6,2.3,48,2.1,2,Yes,99,0.2,1,No,No,No,42.009532,-87.949386,Landmeier Road,Nicholas Blvd,SE,0,20,10,10,5,10,10,0,0,0,0,10,0,0,7,0,0,0,0,,75,0,7,0,,82,0,0,0,0,0,0,0,82
No,No,No,No,No,5,No,No,No,No,99,54,4.5,6,4.4,48,1.7,2.4,Yes,99,0.1,1.1,No,No,No,42.009579,-87.949684,Landmeier Road,Nicholas Blvd,SW,0,20,10,10,0,10,10,10,,0,10,0,0,0,0,0,0,0,0,,80,0,0,0,,80,0,0,0,0,0,0,0,80
No,No,No,No,No,99,No,Yes,Yes,Yes,4,53,3.8,2.4,2.8,61,2.9,0.5,Yes,99,0.2,1.6,No,No,No,42.013527,-87.972299,Landmeier Road,Perrie Drive,NE,0,20,10,10,,0,0,0,10,0,10,0,0,0,7,0,0,0,0,,60,0,7,0,,67,0,3,0,3,3,0,9,76
No,No,No,No,No,99,No,No,Yes,Yes,5.4,52,3.7,8.1,1.4,61,2.5,0.2,Yes,99,0.9,0.6,No,No,No,42.013618,-87.972522,Landmeier Road,Perrie Drive,NW,0,20,10,10,,10,0,0,10,0,10,0,0,0,7,0,0,0,0,,70,0,7,0,,77,0,3,0,3,3,0,9,86
No,No,No,No,No,99,No,Yes,No,Yes,0.3,48,3.2,7,3.5,48,1.2,0.2,Yes,99,99,99,No,No,No,42.017288,-87.989935,Landmeier Road,Ridge Avenue,SE,0,20,10,10,,0,10,0,0,0,10,0,0,0,0,0,0,,,,60,0,0,0,,60,0,0,0,0,7,0,7,67
No,No,No,No,No,99,No,Yes,No,Yes,0.1,48,3.4,8,1.6,48,0.6,1.4,Yes,99,99,99,No,No,No,42.01733,-87.990138,Landmeier Road,Ridge Avenue,SW,0,20,10,10,,0,10,0,0,0,10,0,0,0,0,0,0,,,,60,0,0,0,,60,0,0,0,0,7,0,7,67
No,No,No,No,No,99,No,No,Yes,Yes,1,72,0.9,2.5,1.9,60,0,0.2,Yes,99,1.8,0.8,No,No,No,42.016343,-87.983965,Landmeier Road,Thorndale Avenue,NE,0,20,10,10,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,50,0,0,0,,50,0,3,0,3,7,0,13,63
No,No,No,No,No,99,No,No,Yes,Yes,0.1,60,3.2,4.7,0.7,58,1.5,0.9,No,99,2.4,1.4,No,No,No,42.016376,-87.984127,Landmeier Road,Thorndale Avenue,NW,0,20,10,10,,10,0,0,0,0,10,0,0,0,0,0,5,0,0,,65,0,0,0,,65,0,3,0,3,7,0,13,78
No,No,No,No,No,99,No,No,No,Yes,0.6,54,0.8,4.5,1.9,60,2,0.6,Yes,99,4.4,0.5,No,No,No,42.016127,-87.983943,Landmeier Road,Thorndale Avenue,SE,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,0,0,0,7,0,7,67
No,No,No,No,No,99,No,No,No,Yes,1.4,53,1.9,4.3,0.6,60,1,0.2,Yes,99,2.9,2.7,No,No,No,42.016174,-87.984179,Landmeier Road,Thorndale Avenue,SW,0,20,10,10,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,,60,0,0,0,,60,0,0,0,0,7,0,7,67
No,No,No,No,No,99,No,Yes,No,Yes,0.1,58,0,2.1,3,60,1.5,0.4,Yes,72,0.3,1.5,No,No,No,42.015268,-87.979715,Landmeier Road,Tonne Road,SE-E,0,20,10,10,,0,10,0,0,0,0,0,0,0,0,0,0,0,0,,50,0,0,0,,50,0,0,0,0,7,0,7,57
No,No,No,No,No,99,No,No,No,Yes,0.6,53,0.2,4.1,5.6,99,99,99,Yes,99,0,0.4,Yes,No,No,42.015169,-87.979286,Landmeier Road,Tonne Road,SE-E,0,20,10,10,,10,10,0,0,0,0,0,3,,,,0,0,0,,60,3,0,0,,63,0,0,0,0,5,0,5,68
No,No,No,No,No,18.8,No,No,No,No,99,60,2.5,6.9,5.6,48,4.8,1.7,Yes,99,1.2,0.3,Yes,No,No,42.01511,-87.979012,Landmeier Road,Tonne Road,SE-E,0,20,10,10,5,10,10,10,,0,10,0,3,0,7,0,0,0,0,,85,3,7,0,,95,0,0,0,0,5,0,5,100
No,No,No,No,No,14.7,No,No,No,No,99,60,1.6,11.1,7,60,1.9,1.7,Yes,72,0.9,0.3,No,No,No,42.015299,-87.979865,Landmeier Road,Tonne Road,SW-W,0,20,10,10,5,10,10,10,,0,0,10,3,0,0,0,0,0,0,,85,3,0,0,,88,0,0,0,0,7,0,7,95
No,No,No,No,No,99,No,Yes,No,Yes,1.7,48,4.1,4.9,1.2,60,2.1,1,Yes,99,0.2,0.3,Yes,No,No,42.015196,-87.979386,Landmeier Road,Tonne Road,SW-W,0,20,10,10,,0,10,0,0,0,10,0,0,0,7,0,0,0,0,,60,0,7,0,,67,0,0,0,0,5,0,5,72
No,No,No,No,No,99,No,Yes,No,Yes,0.7,48,1.1,4.3,3.9,99,99,99,Yes,68,0.9,1,Yes,No,No,42.015161,-87.979255,Landmeier Road,Tonne Road,SW-W,0,20,10,10,,0,10,0,0,0,0,0,0,,,,0,0,0,,50,0,0,0,,50,0,0,0,0,5,0,5,55
No,No,No,No,No,99,No,No,Yes,Yes,2.2,60,8.8,5.7,1.8,60,2.3,2.7,No,99,2.7,2.7,No,No,No,42.015629,-87.980406,Landmeier Road,Wildwood Road,NE,0,20,10,10,,10,0,0,10,0,10,0,0,0,7,0,5,0,0,,75,0,7,0,,82,0,3,0,3,7,0,13,95
No,No,No,No,No,99,No,No,Yes,Yes,5.4,72,9.8,8.4,2.7,48,4,0.3,No,72,0.4,4,No,No,No,42.015657,-87.980583,Landmeier Road,Wildwood Road,NW-N,0,20,10,10,,10,0,0,10,0,10,10,0,0,7,0,5,0,0,,85,0,7,0,,92,0,3,0,3,7,0,13,105
No,No,No,No,No,99,No,No,Yes,Yes,4.7,84,7.2,9.2,2.3,60,4.6,1.3,No,99,0.2,0.4,No,No,No,42.015663,-87.980551,Landmeier Road,Wildwood Road,NW-W,0,20,10,10,,10,0,0,10,0,10,10,0,0,7,0,5,0,0,,85,0,7,0,,92,0,3,0,3,7,0,13,105
No,No,No,No,No,99,No,No,No,No,99,52,0.3,1,0.3,60,0.6,2.3,Yes,99,0.7,2.4,No,No,No,42.015778,-87.982217,Landmeier Road,Woodview Avenue,SE,0,20,10,10,,10,10,10,,0,0,0,0,0,0,0,0,0,0,,70,0,0,0,,70,0,0,0,0,7,0,7,77
No,No,No,No,No,99,No,No,No,Yes,0.4,52,2.4,1.8,1,60,1.4,0.3,Yes,99,1.7,1.2,No,No,No,42.015828,-87.982451,Landmeier Road,Woodview Avenue,SW,0,20,10,10,,10,10,0,0,0,10,0,0,0,0,0,0,0,0,,70,0,0,0,,70,0,0,0,0,7,0,7,77
No,No,Yes,Yes,Yes,99,No,No,No,Yes,1.3,56,0.4,1.6,10.5,58,1.9,1.3,Yes,69,3.1,3.9,No,No,No,42.099749,-87.858675,Landwehr Road,Blake Lane,NE,0,0,0,0,,10,10,0,0,0,0,0,3,0,0,0,0,0,0,,20,3,0,0,,23,0,3,3,0,7,0,13,36
No,No,Yes,Yes,Yes,99,No,Yes,No,Yes,0.2,60,0.7,1.2,99,60,0.6,2.7,Yes,72,0.6,1.5,No,No,No,42.099726,-87.859017,Landwehr Road,Blake Lane,NW,0,0,0,0,,0,10,0,0,0,0,0,,0,0,0,0,0,0,,10,,0,0,,10,0,3,3,0,7,0,13,23
No,No,Yes,Yes,Yes,99,No,No,No,Yes,1.8,61,2,4.2,99,60,0.5,0.1,Yes,68,2.2,1.3,No,No,No,42.099651,-87.858678,Landwehr Road,Blake Lane,SE,0,0,0,0,,10,10,0,0,0,0,0,,0,0,0,0,0,0,,20,,0,0,,20,0,3,3,0,7,0,13,33
No,Yes,No,No,No,99,No,No,No,No,99,0,99,99,99,0,99,99,No,99,0.3,5.4,No,No,No,42.102674,-87.858929,Landwehr Road,Brookdale Lane,NW-W,140,20,10,10,,10,10,10,,10,,,,7,,,5,0,3,,140,,7,3,,150,0,3,3,0,5,0,11,161
No,Yes,No,No,No,99,No,No,No,No,99,0,99,99,99,0,99,99,No,99,0.9,3.8,No,No,No,42.102501,-87.858884,Landwehr Road,Brookdale Lane,SW-W,140,20,10,10,,10,10,10,,10,,,,7,,,5,0,0,,140,,7,0,,147,0,3,3,0,5,0,11,158
No,No,No,No,No,99,No,No,No,Yes,1.3,68,2.4,1.6,26.9,63,0.6,0.2,Yes,71,1.7,4.5,Yes,Yes,Yes,42.131179,-87.858273,Landwehr Road,Cherry Lane,NE-E,0,20,10,10,,10,10,0,0,0,10,0,3,0,0,0,0,0,0,0,70,3,0,0,0,73,0,3,5,5,7,0,20,93
